,Commodity,Unit,Miniumum,Maximum,Average
0,,,,,
1,Tomato Big(Nepali),Kg,Rs. 40,Rs. 50, 45.00
2,Tomato Big(Indian),Kg,Rs. 40,Rs. 50, 45.00
3,Tomato Small,Kg,Rs. 10,Rs. 15, 12.50
4,Tomato Small(Tunnel),Kg,Rs. 10,Rs. 15, 12.50
5,Tomato Small(Indian),KG,Rs. 15,Rs. 20, 17.50
6,Tomato Small(Terai),KG,Rs. 15,Rs. 20, 17.50
7,Potato Red,Kg,Rs. 25,Rs. 30, 27.50
8,Potato Red(Indian),KG,Rs. 25,Rs. 30, 27.50
9,Potato White,Kg,Rs. 17,Rs. 18, 17.50
10,Onion Dry (Indian),Kg,Rs. 64,Rs. 68, 66.00
11,Carrot(Local),Kg,Rs. 40,Rs. 50, 45.00
12,Carrot(Terai),Kg,Rs. 30,Rs. 40, 35.00
13,Cabbage(Local),Kg,Rs. 10,Rs. 15, 12.50
14,Cabbage(Terai),Kg,Rs. 10,Rs. 15, 12.50
15,Cabbage,Kg,Rs. 10,Rs. 15, 12.50
16,Cauli Local,Kg,Rs. 20,Rs. 30, 25.00
17,Cauli Local(Jyapu),Kg,Rs. 30,Rs. 40, 35.00
18,Cauli Terai,Kg,Rs. 15,Rs. 20, 17.50
19,Raddish Red,Kg,Rs. 50,Rs. 60, 55.00
20,Raddish White(Local),Kg,Rs. 28,Rs. 35, 31.50
21,Raddish White(Hybrid),Kg,Rs. 35,Rs. 45, 40.00
22,Brinjal Long,Kg,Rs. 50,Rs. 60, 55.00
23,Brinjal Round,Kg,Rs. 50,Rs. 60, 55.00
24,Green Peas,Kg,Rs. 60,Rs. 70, 65.00
25,French Bean(Local),Kg,Rs. 50,Rs. 60, 55.00
26,French Bean(Hybrid),Kg,Rs. 50,Rs. 60, 55.00
27,Sword Bean,Kg,Rs. 90,Rs. 100, 95.00
28,Bitter Gourd,Kg,Rs. 150,Rs. 160, 155.00
29,Bottle Gourd,Kg,Rs. 50,Rs. 60, 55.00
30,Pointed Gourd(Terai),Kg,Rs. 150,Rs. 160, 155.00
31,Pumpkin,Kg,Rs. 30,Rs. 35, 32.50
32,Squash(Long),Kg,Rs. 20,Rs. 25, 22.50
33,Squash(Round),Kg,Rs. 15,Rs. 20, 17.50
34,Turnip,Kg,Rs. 70,Rs. 80, 75.00
35,Okara,Kg,Rs. 110,Rs. 120, 115.00
36,Sweet Potato,Kg,Rs. 60,Rs. 70, 65.00
37,Barela,Kg,Rs. 30,Rs. 40, 35.00
38,Arum,Kg,Rs. 40,Rs. 50, 45.00
39,Christophine,Kg,Rs. 30,Rs. 35, 32.50
40,Brd Leaf Mustard,Kg,Rs. 30,Rs. 40, 35.00
41,Spinach Leaf,Kg,Rs. 40,Rs. 50, 45.00
42,Cress Leaf,Kg,Rs. 40,Rs. 50, 45.00
43,Mustard Leaf,Kg,Rs. 20,Rs. 30, 25.00
44,Fenugreek Leaf,Kg,Rs. 40,Rs. 50, 45.00
45,Onion Green,Kg,Rs. 50,Rs. 60, 55.00
46,Bakula,Kg,Rs. 60,Rs. 70, 65.00
47,Yam,Kg,Rs. 60,Rs. 70, 65.00
48,Mushroom(Kanya),Kg,Rs. 120,Rs. 140, 130.00
49,Mushroom(Button),KG,Rs. 250,Rs. 280, 265.00
50,Brocauli,Kg,Rs. 60,Rs. 70, 65.00
51,Sugarbeet,Kg,Rs. 70,Rs. 80, 75.00
52,Drumstick,Kg,Rs. 150,Rs. 160, 155.00
53,Bauhania flower,Kg,Rs. 350,Rs. 400, 375.00
54,Red Cabbbage,Kg,Rs. 100,Rs. 120, 110.00
55,Lettuce,Kg,Rs. 50,Rs. 60, 55.00
56,Knolkhol,Kg,Rs. 80,Rs. 90, 85.00
57,Celery,Kg,Rs. 120,Rs. 150, 135.00
58,Parseley,Kg,Rs. 220,Rs. 250, 235.00
59,Fennel Leaf,Kg,Rs. 40,Rs. 50, 45.00
60,Mint,Kg,Rs. 200,Rs. 220, 210.00
61,Turnip A,Kg,Rs. 70,Rs. 80, 75.00
62,Tamarind,Kg,Rs. 140,Rs. 150, 145.00
63,Bamboo Shoot,Kg,Rs. 70,Rs. 80, 75.00
64,Tofu,Kg,Rs. 70,Rs. 80, 75.00
65,Gundruk,Kg,Rs. 220,Rs. 250, 235.00
66,Apple(Jholey),Kg,Rs. 180,Rs. 200, 190.00
67,Apple(Fuji),KG,Rs. 250,Rs. 260, 255.00
